timestamp,price_usd,market_cap,volume_24h
2025-07-14 01:00:00,0.00583872486352127,2066813469.368434,582070141.4704162
2025-07-15 01:00:00,0.00583872486352127,2066813469.368434,582070141.4704162
2025-07-16 01:00:00,0.006810388340263352,2404903803.363688,1250053585.454572
2025-07-17 01:00:00,0.005819334795803234,2059573761.186683,985687600.401244
2025-07-18 01:00:00,0.00497016175616411,1759776331.5014536,1092248576.5092924
2025-07-19 01:00:00,0.004235345143134024,1503673248.279644,952362096.0575926
2025-07-20 01:00:00,0.004113324236152353,1455930932.1676736,492667722.50284225
2025-07-21 01:00:00,0.004244719195442207,1503662593.6358273,481677891.5087473
2025-07-22 01:00:00,0.00416272224184562,1474525815.7148576,512914365.0905057
2025-07-23 01:00:00,0.0037991358790512427,1344556661.8434432,651832123.3138086
2025-07-24 01:00:00,0.003081476992205476,1092088949.2267833,858700093.1997033
2025-07-25 01:00:00,0.002646870087672479,943930118.8964428,549014312.6173164
2025-07-26 01:00:00,0.0027353979966321883,966675460.0965248,557474353.9632609
2025-07-27 01:00:00,0.0028417696987469024,1007139072.8510619,422416575.00193816
2025-07-28 01:00:00,0.0026175582643402245,924500553.5322735,258541048.17184642
2025-07-29 01:00:00,0.0024454708491178445,866362145.5117553,370326376.25753975
2025-07-30 01:00:00,0.002801922026072535,986497528.2606815,596415204.1318382
2025-07-31 01:00:00,0.0027334412988853467,963309571.7333242,435809606.2199058
2025-08-01 01:00:00,0.002521541521912957,894634579.8389704,630783961.5905638
2025-08-02 01:00:00,0.0025796843528924523,919396115.5686749,509143346.7089445
2025-08-03 01:00:00,0.0027414575088323336,965667664.3811171,291010061.6838624
2025-08-04 01:00:00,0.0029134884805883,1031296435.4498649,368806347.6429348
2025-08-05 01:00:00,0.003120251995644237,1107237536.3024735,494133618.122605
2025-08-06 01:00:00,0.0032429985782573825,1148148229.3667295,539875932.8645378
2025-08-07 01:00:00,0.003418170741272135,1211174559.6555254,359978564.53119344
2025-08-08 01:00:00,0.0035661422639681768,1262776660.6579428,302710464.7742427
2025-08-09 01:00:00,0.003388930680220162,1200064230.4829726,264688150.97455394
2025-08-10 01:00:00,0.003138500368636193,1111029130.4972124,220821248.71988457
2025-08-11 01:00:00,0.003114112851149657,1101851057.7891963,174602837.13204765
2025-08-12 01:00:00,0.003447067123853039,1221913104.23686,475325239.03945416
2025-08-13 01:00:00,0.004006573941321927,1422007155.2609155,436473573.39639944
2025-08-14 01:00:00,0.003981437279008479,1409510829.8589132,336353040.6110878
2025-08-15 01:00:00,0.0036171048157979035,1288634253.8225553,294226082.33231163
2025-08-16 01:00:00,0.003470890578037042,1228689138.1677597,222503520.8477975
2025-08-17 01:00:00,0.00349364318034043,1235688451.7654886,120475696.16650426
2025-08-18 01:00:00,0.003665794257053614,1301057664.7268267,189844151.75688624
2025-08-19 01:00:00,0.0031089792515931807,1101172731.1003108,313101687.7779898
2025-08-20 01:00:00,0.002816448622693886,996841193.073488,254297766.8177212
2025-08-21 01:00:00,0.003139070129497191,1113041352.778352,299176729.7905158
2025-08-22 01:00:00,0.0028037997377882433,987785566.1361225,210362811.56170142
2025-08-23 01:00:00,0.0032053675789530975,1135689736.9882255,307762955.022249
2025-08-24 01:00:00,0.003131472092582703,1107348745.127922,229165796.26408502
2025-08-25 01:00:00,0.0029182146454700144,1036860337.1456255,228449055.06729805
2025-08-26 01:00:00,0.0026430216334414423,936290689.4959755,232004832.26492456
2025-08-27 01:00:00,0.002871998382559099,1016903084.9921045,187374875.69791475
2025-08-28 01:00:00,0.003012184106980776,1065191297.3129406,240312130.60843712
2025-08-29 01:00:00,0.003510745103321703,1249761010.5086238,234197725.94011444
2025-08-30 01:00:00,0.0035034857009684146,1242258086.0135868,343118169.30766463
2025-08-31 01:00:00,0.0034357999325990295,1215940714.2661066,204639559.62521717
2025-09-01 01:00:00,0.00335480113118742,1186621874.4016712,132268975.39076376
2025-09-02 01:00:00,0.003382808093469001,1196456790.9170823,257354776.9863586
2025-09-03 01:00:00,0.0039039416262679045,1383147643.4075606,371132236.7897985
2025-09-04 01:00:00,0.004068856670576404,1438668215.9535916,307124915.45604587
2025-09-05 01:00:00,0.004281503807988572,1523745960.121512,451067611.6334453
2025-09-06 01:00:00,0.004634696897207216,1640769041.481505,424841792.3928268
2025-09-07 01:00:00,0.0045401543007651006,1607218453.6613944,285299803.2071399
2025-09-08 01:00:00,0.0048792095681037895,1731222205.5322545,238091570.5076434
2025-09-09 01:00:00,0.00474267798218418,1681166531.4368129,295700122.6674697
2025-09-10 01:00:00,0.004771530100423791,1689218862.3217187,220934442.9347021
2025-09-11 01:00:00,0.0056330780926844145,1998132470.9297945,557645717.4688929
2025-09-12 01:00:00,0.005945824728817085,2105708819.4030292,884799681.4139924
2025-09-13 01:00:00,0.006215066591583295,2194299325.2430735,755907876.66984
2025-09-14 01:00:00,0.007433477760137894,2643491872.575599,819525463.3504361
2025-09-15 01:00:00,0.007985408340777416,2824587598.9177985,1504990166.4424944
2025-09-16 01:00:00,0.008594428473102196,3037273236.9724646,1385981179.4858215
2025-09-17 01:00:00,0.007828384711089582,2777253799.901103,824150971.4838257
2025-09-18 01:00:00,0.00820466278822544,2910251441.943945,939903089.0820721
2025-09-19 01:00:00,0.007815905900057103,2767366094.28452,738255438.176113
2025-09-20 01:00:00,0.007168984267868225,2535253276.9304237,595851389.8234097
2025-09-21 01:00:00,0.006973469997441613,2470761845.485157,508333609.7740501
2025-09-22 01:00:00,0.0065444582111650815,2317609557.5846086,576097919.3841835
2025-09-23 01:00:00,0.005679796382363804,2000272755.2467167,717556586.904182
2025-09-24 01:00:00,0.005838761517474199,2074845774.7709846,602150010.8827455
2025-09-25 01:00:00,0.005636337619994654,1995260975.881052,525494447.58132297
2025-09-26 01:00:00,0.00502465207343172,1778921231.436653,742012729.3058335
2025-09-27 01:00:00,0.005250602226836143,1857549408.7258623,1101140786.596877
2025-09-28 01:00:00,0.005178172804724691,1833216068.9808953,277940250.6725213
2025-09-29 01:00:00,0.005966188453551393,2119953997.3054602,544321938.6910337
2025-09-30 01:00:00,0.005749194559413821,2044990457.0172193,495573041.6927041
2025-10-01 01:00:00,0.005952633256392501,2106048181.5716016,621247565.289358
2025-10-02 01:00:00,0.007057289108717753,2497809802.7422547,902533937.6322302
2025-10-03 01:00:00,0.007038451387018281,2491625647.787456,728171780.4138706
2025-10-04 01:00:00,0.006872283122951796,2434881590.5126534,649656066.0163951
2025-10-05 01:00:00,0.006687826827329358,2367588081.377944,388787340.3865561
2025-10-06 01:00:00,0.0064234621733610334,2274241855.335826,448842279.0406382
2025-10-07 01:00:00,0.00620980701781769,2197067454.5025234,462418984.6438477
2025-10-08 01:00:00,0.006440794610940245,2283039722.731485,517493262.11550605
2025-10-09 01:00:00,0.0061634338057701375,2181904051.9750524,438353335.00016093
2025-10-10 01:00:00,0.0055443915488166745,1959403501.9740827,389052154.0967959
2025-10-11 01:00:00,0.0040515146625077665,1475544317.3668065,797918381.5584891
2025-10-12 01:00:00,0.0037700456411801126,1339713543.7238722,479063168.07671785
2025-10-13 01:00:00,0.004332836725087362,1534077652.8405173,456816861.907051
2025-10-14 01:00:00,0.004320662776299782,1528837561.547327,380616391.5599405
2025-10-15 01:00:00,0.004109305915085536,1455171714.2000935,382342431.84949046
2025-10-16 01:00:00,0.003822171537273794,1351878693.9250793,247808060.76793686
2025-10-17 01:00:00,0.0034581522137623684,1223778696.51476,264429397.08552825
2025-10-18 01:00:00,0.0035176438452485573,1245377141.7375498,293091190.00553447
2025-10-19 01:00:00,0.003957914605553221,1398898611.3894687,256491590.48617202
2025-10-20 01:00:00,0.003904518320434341,1380561497.3535695,266840529.91222328
2025-10-21 01:00:00,0.0038553704421398285,1364903204.939236,282896321.647337
2025-10-22 01:00:00,0.003683778380156671,1303938569.5864844,288994866.4802177
2025-10-23 01:00:00,0.0034760136200645392,1231233822.2837095,259090674.0446605
2025-10-24 01:00:00,0.0038120957831193195,1349742900.2503004,245197735.26286012
2025-10-25 01:00:00,0.004160655701949737,1470468959.8059087,274113548.9679542
2025-10-26 01:00:00,0.004146795215665869,1469532212.7820606,120984524.99405168
2025-10-27 01:00:00,0.004741015885906756,1681453781.6108372,359517986.503675
2025-10-28 01:00:00,0.004782633285758493,1691858309.3182623,392318699.50245064
2025-10-29 01:00:00,0.0046296114124072816,1638865252.7265506,418003213.65164155
2025-10-30 01:00:00,0.005247906559912385,1859008176.2360582,489135252.9930801
2025-10-31 01:00:00,0.004414406519353759,1560451025.2166698,534684284.21587497
2025-11-01 01:00:00,0.004633510926763746,1641655985.3993359,395141021.0757373
2025-11-02 01:00:00,0.0046527864960100845,1647395563.035198,250225171.6301696
2025-11-03 01:00:00,0.004357489047100285,1539535430.3963208,262100122.56010705
2025-11-04 01:00:00,0.0038704101883021745,1364796148.4000583,356997072.9254955
2025-11-05 01:00:00,0.0037647228865507762,1332626951.7062383,378559250.74309874
2025-11-06 01:00:00,0.004154809781051992,1470441444.649767,322429514.04988796
2025-11-07 01:00:00,0.003696398898201064,1307338504.0128605,220314657.16106567
2025-11-08 01:00:00,0.004175073317809356,1477475543.2182486,332120627.4981045
2025-11-09 01:00:00,0.003788183189300182,1342571470.4813304,213242435.7086005
2025-11-10 01:00:00,0.004113793692794116,1455699972.6323779,239613574.56803706
2025-11-11 01:00:00,0.00450024511499785,1596852911.763125,416116807.1515474
2025-11-12 01:00:00,0.00410443223034084,2427943185.922286,407808918.92125154
2025-11-13 01:00:00,0.0039109135558975435,2307395002.1127076,362956928.5444321
2025-11-14 01:00:00,0.0036353319008063994,2145394092.239727,311351764.19006324
2025-11-15 01:00:00,0.0034925631614171563,2067626440.428193,274162132.849849
2025-11-16 01:00:00,0.00359307769393767,2118683562.3898234,118175530.44056576
2025-11-17 01:00:00,0.003428862814703303,2023521918.0140774,192623356.80218783
2025-11-18 01:00:00,0.002879848327554575,1695600256.2870293,266039587.75348037
2025-11-19 01:00:00,0.003132784028182436,1848342576.6276371,267352670.17891887
2025-11-20 01:00:00,0.0031840474292947674,1871464731.3149998,199864956.53535792
2025-11-21 01:00:00,0.0029476807687956975,1747377680.2035713,220855799.87238938
2025-11-21 17:47:04,0.0027974378746309777,1654059808.8414485,271164960.8771018
